cod,nombre,Lat,Long,ocupacion,intensidad
8005,(AFOROS)JOSE ORTEGA Y GASSET 45 O-E - PRINCIPE VERGARA-G. DIAZ PORLIER,40.429959,-3.677780,2,300
8006,PRINCIPE DE VERGARA 85 N-S(EN RT) - GENERAL ORAA-DIEGO LEON,40.435609,-3.679335,7,1200
8007,(TACTICO) GRAL. ORAA 58 O-E (EN RT) - CASTELLO-PRINCIPE VERGARA,40.435980,-3.679686,22,260
8008,PRINCIPE VERGARA 71 N-S (EN RT) - DIEGO DE LEON-MALDONADO,40.434387,-3.679448,6,1140
8009,PRINCIPE VERGARA 54 S-N (EN RT) - PADILLA-JUAN BRAVO,40.431708,-3.679536,8,1140
8010,PRINCIPE VERGARA 51 N-S (EN RT) - PADILLA-JOSE ORTEGA Y GASSET,40.431014,-3.679717,6,920
8011,PRINCIPE VERGARA S-N - DON RAMON DE LA CRUZ-JOSE ORTEGA GASSET,40.429273,-3.679748,8,1280
8012,DIEGO DE LEON 23 O-E (EN RT) - NUÑEZ DE BALBOA-VELAQUEZ,40.434942,-3.682544,5,620
8013,DIEGO DE LEON 51 E-O - GENERAL PARDIÑAS-PRINCIPE VERGARA,40.434725,-3.678301,6,740
8014,GOYA 43 E-O (EN RT) - NUÑEZ DE BALBOA-VELAZQUEZ,40.425200,-3.683248,42,1100
8015,GOYA 34 O-E (EN RT) - CASTELLO-PRINCIPE DE VERGARA,40.425020,-3.681015,2,160
8016,GOYA E-O (EN RT) - GENERAL PARDIÑAS-PRINCIPE DE VERGARA,40.425015,-3.679121,15,2020
8017,JOSE ORTEGA Y GASSET O-E (EN RT) - NUÑEZ DE BALBOA-CASTELLO,40.430165,-3.681866,2,140
8018,JOSE ORTEGA Y GASSET E-O (EN RT) - NUÑEZ DE BALBOA-VELAZQUEZ,40.430298,-3.682782,8,420
9001,LATERAL M-30 N-S - SALIDA PUENTE VENTAS-PL. TOROS,40.432343,-3.660983,72,380
9002,LATERAL M-30 S-N - SALIDA PUENTE VENTAS-CIUDAD LINEAL,40.430341,-3.660269,99,0
9003,ALCALA E-O - RAQUEL MELLER- M-30,40.431856,-3.659286,15,1360
9004,ALCALA E-O - MONTESA-HERMOSILLA,40.426192,-3.672753,7,1500
9005,ALCALA O-E - JORGE JUAN-FELIPE II,40.423681,-3.678096,9,1740
9006,O´DONNELL O-E - ALCALA-AV. MENENDEZ PELAYO,40.421349,-3.681217,56,480
9007,FCO. SILVELA N-S - JOSE ORTEGA Y GASSET-PL. MANUEL BECERRA,40.429256,-3.669969,3,340
9008,CONDE DE PEÑALVER N-S - AYALA-HERMOSILLA,40.426941,-3.675583,0,120
9009,ALCALA O-E - ALMERIA-PUENTE VENTAS,40.430922,-3.662771,14,2680
9010,O´DONNELL E-O - AGUIRRE-ALCALA,40.421310,-3.682129,51,260
9011,ALCALA O-E - VELAZQUEZ-O´DONNELL,40.421117,-3.683356,10,1100
